dstport,protocol,tag
2,encap,SV_4
1,pup,SV_2
1,chaos,SV_5
3,ddp,SV_5
3,iso-ip,SV_1
5,irtp,SV_2
3,prm,SV_2
4,crudp,SV_3
2,reserved,SV_3
4,fire,SV_4
5,cpnx,SV_2
3,ipv6-route,SV_3
2,sm (deprecated),SV_3
3,pgm,SV_2
1,mfe-nsp,SV_4
2,xnet,SV_2
4,ipx-in-ip,SV_1
3,uti,SV_5
4,sun-nd,SV_3
3,wb-expak,SV_1
4,qnx,SV_5
4,micp (deprecated),SV_5
5,dccp,SV_2
1,uti,SV_4
2,sscopmce,SV_4
3,idpr,SV_4
5,hopopt,SV_2
4,xnet,SV_2
3,ddx,SV_1
1,l2tp,SV_3
5,sat-mon,SV_4
1,iplt,SV_4
3,sctp,SV_4
5,iptm,SV_4
2,ipcomp,SV_5
1,sdrp,SV_4
3,igmp,SV_3
1,idpr,SV_1
1,hopopt,SV_2
2,esp,SV_1
3,ipv6,SV_1
3,iptm,SV_5
1,wesp,SV_5
2,sm (deprecated),SV_2
5,narp,SV_1
4,sscopmce,SV_4
1,gre,SV_2
2,idpr-cmtp,SV_2
4,idrp,SV_5
2,sm (deprecated),SV_2
2,argus (deprecated),SV_2
4,rvd,SV_5
5,prm,SV_3
3,bbn-rcc-mon,SV_3
5,idrp,SV_1
4,sat-mon,SV_1
2,vmtp,SV_4
5,rsvp-e2e-ignore,SV_5
3,larp,SV_3
3,anydfs,SV_5
2,ipv6-route,SV_3
1,leaf-2,SV_1
2,gre,SV_3
4,rsvp-e2e-ignore,SV_4
3,shim6,SV_2
1,reserved,SV_4
4,shim6,SV_1
2,sm (deprecated),SV_2
2,srp,SV_2
4,pgm,SV_5
5,stp,SV_5
3,stp,SV_2
5,merit-inp,SV_1
3,smp,SV_1
3,isis over ipv4,SV_5
1,tcp,SV_2
4,ddx,SV_3
3,min-ipv4,SV_5
3,secure-vmtp,SV_4
5,crudp,SV_3
3,snp,SV_3
3,hip,SV_4
5,sat-expak,SV_2
4,rohc,SV_5
3,br-sat-mon,SV_5
2,gmtp,SV_3
4,trunk-1,SV_3
5,any0hopprotocol,SV_1
5,l2tp,SV_5
1,scps,SV_2
3,crudp,SV_3
1,pup,SV_5
5,bbn-rcc-mon,SV_2
4,mfe-nsp,SV_5
3,nvp-ii,SV_4
3,fc,SV_4
5,igp,SV_1
5,ax.25,SV_3
5,eigrp,SV_1
5,ospfigp,SV_1
2,vrrp,SV_5
1,pnni,SV_4
5,cphb,SV_4
1,secure-vmtp,SV_4
3,chaos,SV_5
4,br-sat-mon,SV_1
2,anydfs,SV_5
2,encap,SV_5
4,tcf,SV_1
3,snp,SV_2
4,mpls-in-ip,SV_3
5,a/n,SV_5
5,wb-mon,SV_2
4,micp (deprecated),SV_3
2,ethernet,SV_5
5,irtp,SV_3
5,qnx,SV_5
4,igmp,SV_2
4,bna,SV_5
2,mobility header,SV_5
1,leaf-2,SV_1
5,leaf-2,SV_2
3,dsr,SV_5
5,fire,SV_1
1,cbt,SV_3
1,mtp,SV_4
5,wb-expak,SV_2
5,tp++,SV_4
3,sdrp,SV_3
4,smp,SV_5
3,br-sat-mon,SV_4
3,ipv6-route,SV_3
3,ospfigp,SV_3
4,aggfrag,SV_5
2,hip,SV_4
5,chaos,SV_5
3,chaos,SV_5
4,aggfrag,SV_2
3,iplt,SV_2
3,narp,SV_3
3,anydfs,SV_4
5,iatp,SV_1
5,ipv6-route,SV_1
2,dcn-meas,SV_3
4,sps,SV_5
3,eigrp,SV_5
3,hip,SV_4
5,shim6,SV_1
1,leaf-2,SV_4
4,micp (deprecated),SV_4
2,sctp,SV_3
2,irtp,SV_4
1,rohc,SV_5
2,fc,SV_1
2,ipv6-icmp,SV_3
2,pup,SV_4
5,bna,SV_4
2,scc-sp,SV_4
2,l2tp,SV_2
5,vmtp,SV_2
5,icmp,SV_4
1,wsn,SV_5
3,ipv6-nonxt,SV_5
3,shim6,SV_1
2,ddp,SV_2
2,dgp,SV_1
2,swipe (deprecated),SV_5
2,xnet,SV_4
4,bbn-rcc-mon,SV_3
3,iplt,SV_5
3,ipv6,SV_5
5,min-ipv4,SV_3
3,st,SV_3
1,nvp-ii,SV_3
