Tag Counts:
Tag,Count

Untagged,8669

SV_3,2394

SV_5,2107

SV_1,2139

SV_2,2468

SV_4,2223

Port/Protocol Combination Counts:
Port,Protocol,Count

3,ipv6-icmp,10

4,unassigned,1788

3,unassigned,1689

3,sctp,16

5,nsfnet-igp,19

4,trunk-1,19

2,iso-ip,13

2,unassigned,1747

1,rvd,12

1,unassigned,1688

3,mtp,15

4,anyhostprotocol,15

1,scps,17

4,iso-ip,21

2,kryptolan,11

4,argus (deprecated),17

3,xns-idp,11

4,idrp,22

2,wb-mon,10

5,ah,12

3,emcon,19

5,unassigned,1757

1,dsr,21

2,fc,19

3,shim6,26

4,ipx-in-ip,19

1,rdp,18

4,gre,18

3,sat-mon,16

4,pup,7

5,sscopmce,17

4,trunk-2,19

4,br-sat-mon,13

2,il,19

2,wesp,12

2,mtp,12

5,igp,19

5,ddx,14

3,ipcomp,18

4,ipv6-nonxt,16

5,iptm,23

5,ggp,17

1,pnni,19

2,aris,18

2,3pc,19

3,i-nlsp,17

4,anyprivencscheme,17

4,anylocalnetwork,24

5,vines,15

1,idpr,16

1,rsvp-e2e-ignore,21

3,uti,18

1,il,21

4,sps,19

4,cftp,18

3,idpr,13

5,wb-mon,18

5,wesp,21

2,igmp,8

2,dccp,24

1,udplite,9

4,nvp-ii,13

1,iptm,15

2,tcf,16

1,cftp,17

4,srp,20

1,leaf-1,13

1,pipe,11

2,udp,18

1,etherip,16

3,nsh,21

3,nvp-ii,8

2,udplite,15

4,hmp,23

3,merit-inp,17

5,sat-mon,15

3,trunk-2,18

1,qnx,11

5,dcn-meas,17

3,vmtp,10

4,mpls-in-ip,15

1,stp,15

3,egp,19

4,reserved,16

5,vmtp,12

4,idpr-cmtp,16

4,ipv6-route,25

2,ipv4,22

5,vrrp,16

5,srp,13

1,vines,16

3,anylocalnetwork,12

1,dccp,19

3,mfe-nsp,16

1,mfe-nsp,18

3,vines,14

1,isis over ipv4,16

4,ipv6-opts,19

2,leaf-2,21

1,ipv6-nonxt,19

3,manet,14

5,udp,16

5,eigrp,21

1,sdrp,19

4,dgp,17

4,skip,16

3,stp,17

1,swipe (deprecated),18

2,egp,15

4,min-ipv4,14

2,stp,17

4,scps,18

1,vrrp,18

2,cpnx,13

5,i-nlsp,21

5,dgp,15

2,iplt,19

3,udp,17

2,irtp,13

1,sps,24

5,scc-sp,16

3,ethernet,14

2,mobility header,21

5,wsn,7

1,iso-ip,20

3,tlsp,19

2,netblt,18

5,ipcv,21

4,ax.25,19

5,il,12

2,l2tp,20

4,idpr,19

2,nsh,22

1,sctp,18

3,visa,15

1,kryptolan,20

3,icmp,18

2,wb-expak,15

